FID;Id;Latitude;Longitude
0;0;-2260670,0000000;-251187,0000000
1;0;-2260730,0000000;-251104,0000000
2;0;-2260780,0000000;-251021,0000000
3;0;-2260840,0000000;-250938,0000000
4;0;-2260890,0000000;-250854,0000000
5;0;-2260950,0000000;-250771,0000000
6;0;-2261000,0000000;-250688,0000000
7;0;-2261060,0000000;-250605,0000000
8;0;-2261120,0000000;-250522,0000000
9;0;-2261170,0000000;-250438,0000000
10;0;-2261230,0000000;-250355,0000000
11;0;-2261280,0000000;-250272,0000000
12;0;-2261340,0000000;-250189,0000000
13;0;-2261390,0000000;-250106,0000000
14;0;-2261460,0000000;-250031,0000000
15;0;-2261530,0000000;-249960,0000000
16;0;-2261600,0000000;-249890,0000000
17;0;-2261670,0000000;-249819,0000000
18;0;-2261740,0000000;-249748,0000000
19;0;-2261810,0000000;-249678,0000000
20;0;-2261880,0000000;-249607,0000000
21;0;-2261950,0000000;-249536,0000000
22;0;-2262030,0000000;-249465,0000000
23;0;-2262100,0000000;-249395,0000000
24;0;-2262170,0000000;-249324,0000000
25;0;-2262240,0000000;-249253,0000000
26;0;-2262310,0000000;-249183,0000000
27;0;-2262380,0000000;-249112,0000000
28;0;-2262450,0000000;-249041,0000000
29;0;-2262520,0000000;-248970,0000000
30;0;-2262590,0000000;-248900,0000000
31;0;-2262660,0000000;-248829,0000000
32;0;-2262730,0000000;-248758,0000000
33;0;-2262800,0000000;-248688,0000000
34;0;-2262870,0000000;-248617,0000000
35;0;-2262940,0000000;-248546,0000000
36;0;-2263020,0000000;-248475,0000000
37;0;-2263090,0000000;-248405,0000000
38;0;-2263160,0000000;-248334,0000000
39;0;-2263230,0000000;-248263,0000000
40;0;-2263300,0000000;-248193,0000000
41;0;-2263370,0000000;-248122,0000000
42;0;-2263440,0000000;-248051,0000000
43;0;-2263510,0000000;-247981,0000000
44;0;-2263580,0000000;-247910,0000000
45;0;-2263650,0000000;-247839,0000000
46;0;-2263720,0000000;-247768,0000000
47;0;-2263790,0000000;-247698,0000000
48;0;-2263860,0000000;-247627,0000000
49;0;-2263930,0000000;-247556,0000000
50;0;-2264010,0000000;-247486,0000000
51;0;-2264080,0000000;-247415,0000000
52;0;-2264150,0000000;-247344,0000000
53;0;-2264220,0000000;-247273,0000000
54;0;-2264290,0000000;-247203,0000000
55;0;-2264360,0000000;-247132,0000000
56;0;-2264430,0000000;-247061,0000000
57;0;-2264500,0000000;-246991,0000000
58;0;-2264570,0000000;-246920,0000000
59;0;-2264640,0000000;-246849,0000000
60;0;-2264710,0000000;-246778,0000000
61;0;-2264780,0000000;-246708,0000000
62;0;-2264850,0000000;-246637,0000000
63;0;-2264920,0000000;-246566,0000000
64;0;-2264990,0000000;-246496,0000000
65;0;-2265070,0000000;-246425,0000000
66;0;-2265140,0000000;-246354,0000000
67;0;-2265210,0000000;-246283,0000000
68;0;-2265280,0000000;-246213,0000000
69;0;-2265350,0000000;-246142,0000000
70;0;-2265420,0000000;-246071,0000000
71;0;-2265490,0000000;-246001,0000000
72;0;-2265560,0000000;-245930,0000000
73;0;-2265630,0000000;-245859,0000000
74;0;-2265720,0000000;-245807,0000000
75;0;-2265800,0000000;-245758,0000000
76;0;-2265890,0000000;-245708,0000000
77;0;-2265980,0000000;-245658,0000000
78;0;-2266060,0000000;-245609,0000000
79;0;-2266150,0000000;-245559,0000000
80;0;-2266240,0000000;-245509,0000000
81;0;-2266320,0000000;-245460,0000000
82;0;-2266410,0000000;-245410,0000000
83;0;-2266500,0000000;-245361,0000000
84;0;-2266580,0000000;-245305,0000000
85;0;-2266640,0000000;-245227,0000000
86;0;-2266710,0000000;-245150,0000000
87;0;-2266770,0000000;-245072,0000000
88;0;-2266830,0000000;-244995,0000000
89;0;-2266900,0000000;-244918,0000000
90;0;-2266960,0000000;-244840,0000000
91;0;-2267020,0000000;-244763,0000000
92;0;-2267090,0000000;-244685,0000000
93;0;-2267150,0000000;-244608,0000000
94;0;-2267210,0000000;-244531,0000000
95;0;-2267280,0000000;-244453,0000000
96;0;-2267340,0000000;-244376,0000000
97;0;-2267400,0000000;-244299,0000000
98;0;-2267470,0000000;-244221,0000000
99;0;-2267530,0000000;-244144,0000000
100;0;-2267590,0000000;-244066,0000000
101;0;-2267660,0000000;-243989,0000000
102;0;-2267720,0000000;-243912,0000000
103;0;-2267780,0000000;-243834,0000000
104;0;-2267850,0000000;-243757,0000000
105;0;-2267910,0000000;-243679,0000000
106;0;-2267970,0000000;-243602,0000000
107;0;-2268040,0000000;-243525,0000000
108;0;-2268100,0000000;-243447,0000000
109;0;-2268160,0000000;-243370,0000000
110;0;-2268230,0000000;-243292,0000000
111;0;-2268290,0000000;-243215,0000000
112;0;-2268350,0000000;-243138,0000000
113;0;-2268420,0000000;-243060,0000000
114;0;-2268480,0000000;-242983,0000000
115;0;-2268540,0000000;-242905,0000000
116;0;-2268610,0000000;-242828,0000000
117;0;-2268660,0000000;-242747,0000000
118;0;-2268700,0000000;-242654,0000000
119;0;-2268740,0000000;-242561,0000000
120;0;-2268770,0000000;-242468,0000000
121;0;-2268810,0000000;-242375,0000000
122;0;-2268850,0000000;-242282,0000000
123;0;-2268880,0000000;-242189,0000000
124;0;-2268920,0000000;-242096,0000000
125;0;-2268960,0000000;-242003,0000000
126;0;-2268990,0000000;-241910,0000000
127;0;-2269030,0000000;-241817,0000000
128;0;-2269070,0000000;-241724,0000000
129;0;-2269100,0000000;-241631,0000000
130;0;-2269140,0000000;-241538,0000000
131;0;-2269180,0000000;-241445,0000000
132;0;-2269210,0000000;-241352,0000000
133;0;-2269250,0000000;-241259,0000000
134;0;-2269290,0000000;-241166,0000000
135;0;-2269320,0000000;-241073,0000000
136;0;-2269360,0000000;-240980,0000000
137;0;-2269400,0000000;-240887,0000000
138;0;-2269430,0000000;-240794,0000000
139;0;-2269470,0000000;-240701,0000000
140;0;-2269510,0000000;-240608,0000000
141;0;-2269540,0000000;-240515,0000000
142;0;-2269580,0000000;-240422,0000000
143;0;-2269620,0000000;-240329,0000000
144;0;-2269650,0000000;-240236,0000000
145;0;-2269690,0000000;-240143,0000000
146;0;-2269730,0000000;-240050,0000000
147;0;-2269760,0000000;-239957,0000000
148;0;-2269800,0000000;-239864,0000000
149;0;-2269840,0000000;-239771,0000000
150;0;-2269870,0000000;-239678,0000000
151;0;-2269910,0000000;-239585,0000000
152;0;-2269950,0000000;-239492,0000000
153;0;-2269980,0000000;-239399,0000000
154;0;-2270020,0000000;-239306,0000000
155;0;-2270060,0000000;-239213,0000000
156;0;-2270090,0000000;-239119,0000000
157;0;-2270130,0000000;-239026,0000000
158;0;-2270170,0000000;-238933,0000000
159;0;-2270200,0000000;-238840,0000000
160;0;-2270240,0000000;-238747,0000000
161;0;-2270280,0000000;-238654,0000000
162;0;-2270320,0000000;-238561,0000000
163;0;-2270350,0000000;-238468,0000000
164;0;-2270390,0000000;-238375,0000000
165;0;-2270430,0000000;-238282,0000000
166;0;-2270460,0000000;-238189,0000000
167;0;-2270500,0000000;-238096,0000000
168;0;-2270540,0000000;-238003,0000000
169;0;-2270570,0000000;-237910,0000000
170;0;-2270610,0000000;-237817,0000000
171;0;-2270650,0000000;-237724,0000000
172;0;-2270680,0000000;-237631,0000000
173;0;-2270720,0000000;-237538,0000000
174;0;-2270760,0000000;-237445,0000000
175;0;-2270790,0000000;-237352,0000000
176;0;-2270830,0000000;-237259,0000000
177;0;-2270870,0000000;-237166,0000000
178;0;-2270900,0000000;-237073,0000000
179;0;-2270940,0000000;-236980,0000000
180;0;-2270980,0000000;-236887,0000000
181;0;-2271010,0000000;-236794,0000000
182;0;-2271050,0000000;-236701,0000000
183;0;-2271090,0000000;-236608,0000000
184;0;-2271120,0000000;-236515,0000000
185;0;-2271160,0000000;-236422,0000000
186;0;-2271200,0000000;-236329,0000000
187;0;-2271230,0000000;-236236,0000000
188;0;-2271270,0000000;-236143,0000000
189;0;-2271270,0000000;-236046,0000000
190;0;-2271260,0000000;-235947,0000000
191;0;-2271250,0000000;-235848,0000000
192;0;-2271230,0000000;-235749,0000000
193;0;-2271220,0000000;-235651,0000000
194;0;-2271200,0000000;-235552,0000000
195;0;-2271190,0000000;-235453,0000000
196;0;-2271170,0000000;-235354,0000000
197;0;-2271160,0000000;-235255,0000000
198;0;-2271140,0000000;-235156,0000000
199;0;-2271130,0000000;-235057,0000000
200;0;-2271110,0000000;-234958,0000000
201;0;-2271100,0000000;-234859,0000000
202;0;-2271080,0000000;-234760,0000000
203;0;-2271070,0000000;-234661,0000000
204;0;-2271060,0000000;-234562,0000000
205;0;-2271040,0000000;-234463,0000000
206;0;-2271030,0000000;-234365,0000000
207;0;-2271010,0000000;-234266,0000000
208;0;-2271000,0000000;-234167,0000000
209;0;-2270980,0000000;-234068,0000000
210;0;-2270970,0000000;-233969,0000000
